velocity,cot
1.441072,0.677966
1.004302,1.864175
0.946468,0.615164
0.927169,0.601841
0.988088,0.582927
1.046293,0.556270
1.106395,0.528312
1.150580,0.487934
1.217304,0.493580
1.256510,0.475380
1.314090,0.485074
1.363214,0.428790
1.412946,0.390636
1.458450,0.389800
1.497202,0.391145
1.556422,0.391946
1.617806,0.374138
1.667851,0.363515
1.713300,0.346954
1.756440,0.315902
1.800514,0.202967
1.839800,0.217119
1.901274,0.238366
1.968959,0.245482
2.040739,0.244517
2.118190,0.254039
2.188860,0.277303
2.283597,0.272587
2.360435,0.262389
2.431207,0.275473
2.521175,0.286099
2.595889,0.294104
2.686320,0.366019
2.776711,0.325516
2.838975,0.315003
2.917546,0.329914
2.989026,0.347066
3.042734,0.336669
3.100191,0.366997
3.147013,0.351454
3.198594,0.365034
3.257503,0.342521
3.287863,0.364897
3.329630,0.381375
3.372070,0.377089
3.415723,0.369479
3.452617,0.429954
3.476208,0.403618
3.503416,0.370592
3.509170,0.417770
3.490080,0.420844
3.528016,0.360740
3.477569,0.423920
3.485482,0.361242
3.465430,0.360549
3.396596,0.327346
3.313966,0.319728
3.255791,0.325517
3.221422,0.245330
3.357587,0.333418
3.402885,0.322872
3.357400,0.323733
3.288340,0.289764
3.258769,0.309899
3.264747,0.280977
3.356298,0.273315
3.343930,0.314790
3.292721,0.284333
3.265731,0.338964
3.239351,0.263862
3.352293,0.279028
3.320542,0.318476
3.332504,0.288542
3.358177,0.344121
3.372128,0.344321
3.388058,0.337801
3.401546,0.346409
3.397328,0.346603
