velocity,cot
1.460211,0.629863
1.050571,1.236029
0.939421,0.380044
0.883159,0.453821
0.888544,0.449634
0.918041,0.495130
0.990225,0.427277
1.045200,0.479704
1.116259,0.455625
1.171172,0.462175
1.232723,0.442403
1.293925,0.456073
1.358431,0.429976
1.422080,0.418679
1.485835,0.398599
1.547504,0.382607
1.617563,0.393635
1.681909,0.393112
1.742498,0.380480
1.806981,0.379905
1.869940,0.374116
1.933890,0.374131
2.003084,0.406366
2.063709,0.416379
2.131982,0.390018
2.202260,0.396025
2.263451,0.401350
2.335254,0.392095
2.396330,0.387751
2.464795,0.391120
2.533333,0.385545
2.600288,0.384566
2.665531,0.386529
2.727156,0.382518
2.797530,0.386547
2.859519,0.391155
2.923754,0.395536
2.985965,0.393386
3.054049,0.377042
3.116953,0.371549
3.178937,0.373664
3.241987,0.366653
3.299587,0.362362
3.354783,0.356742
3.404809,0.345758
3.446768,0.361337
3.488418,0.362375
3.533350,0.370102
3.583975,0.351001
3.623695,0.331990
3.657052,0.326276
3.676540,0.331319
3.679046,0.377733
3.671687,0.351686
3.680940,0.391054
3.653973,0.368646
3.675256,0.395878
3.646005,0.369952
3.655378,0.391730
3.624564,0.377858
3.661451,0.374460
3.666329,0.340661
3.625912,0.434349
3.560360,0.410997
3.643183,0.354552
3.696622,0.386994
3.718584,0.339864
3.723092,0.346231
3.717374,0.346342
3.704598,0.311736
3.703974,0.349121
3.709526,0.335085
3.706312,0.343063
3.704555,0.329947
3.713497,0.330922
3.715823,0.349328
3.717368,0.348115
3.716674,0.340010
