frame,sim_time,current_vel,desired_vel
0,0.000000,0.000000,0.000000
1,0.080000,0.760988,0.500000
2,0.160000,0.924919,0.500000
3,0.240000,1.572121,0.500000
4,0.320000,2.319291,0.500000
5,0.400000,2.528946,0.500000
6,0.480001,2.850811,0.500000
7,0.560000,2.761702,0.511022
8,0.639999,2.265296,0.511022
9,0.719998,1.705604,0.511022
10,0.799997,1.746981,0.511022
11,0.879996,1.942415,0.511022
12,0.959995,1.460142,0.511022
13,1.039994,1.239250,0.522044
14,1.119993,1.167301,0.522044
15,1.199992,1.323610,0.522044
16,1.279991,1.033138,0.522044
17,1.359990,0.796872,0.522044
18,1.439989,0.904536,0.522044
19,1.519988,0.851708,0.533066
20,1.599987,1.056552,0.533066
21,1.679986,1.072573,0.533066
22,1.759984,1.071905,0.533066
23,1.839983,1.017775,0.533066
24,1.919982,1.117569,0.533066
25,1.999981,1.238950,0.533066
26,2.079985,1.185467,0.544088
27,2.159989,1.139653,0.544088
28,2.239993,1.396847,0.544088
29,2.319996,1.355186,0.544088
30,2.400000,1.221374,0.544088
31,2.480004,1.376040,0.544088
32,2.560008,1.269061,0.555110
33,2.640011,1.152843,0.555110
34,2.720015,1.356075,0.555110
35,2.800019,1.239066,0.555110
36,2.880023,1.164551,0.555110
37,2.960026,1.346768,0.555110
38,3.040030,1.200770,0.566132
39,3.120034,1.112260,0.566132
40,3.200037,1.364846,0.566132
41,3.280041,1.265093,0.566132
42,3.360045,1.228358,0.566132
43,3.440049,1.365277,0.566132
44,3.520052,1.226822,0.577154
45,3.600056,1.176623,0.577154
46,3.680060,1.291242,0.577154
47,3.760064,1.277925,0.577154
48,3.840067,1.331561,0.577154
49,3.920071,1.281688,0.577154
50,4.000075,1.274187,0.577154
51,4.080069,1.205470,0.588176
52,4.160063,1.184970,0.588176
53,4.240057,1.351022,0.588176
54,4.320052,1.387156,0.588176
55,4.400046,1.235438,0.588176
56,4.480040,1.353863,0.588176
57,4.560034,1.224200,0.599198
58,4.640028,1.128440,0.599198
59,4.720023,1.383260,0.599198
60,4.800017,1.393689,0.599198
61,4.880011,1.303470,0.599198
62,4.960005,1.397709,0.599198
63,5.039999,1.226365,0.610220
64,5.119994,1.113838,0.610220
65,5.199988,1.374630,0.610220
66,5.279982,1.377791,0.610220
67,5.359976,1.347928,0.610220
68,5.439970,1.426725,0.610220
69,5.519965,1.240815,0.621243
70,5.599959,1.134686,0.621243
71,5.679953,1.235548,0.621243
72,5.759947,1.199608,0.621243
73,5.839942,1.229579,0.621243
74,5.919936,1.156867,0.621243
75,5.999930,1.173182,0.621243
76,6.079924,1.151231,0.632265
77,6.159918,1.069886,0.632265
78,6.239913,1.184042,0.632265
79,6.319907,1.156097,0.632265
80,6.399901,1.041652,0.632265
81,6.479895,1.240029,0.632265
82,6.559889,1.121230,0.643287
83,6.639884,1.029168,0.643287
84,6.719878,1.181426,0.643287
85,6.799872,1.046054,0.643287
86,6.879866,0.971353,0.643287
87,6.959860,1.218820,0.643287
88,7.039855,1.089452,0.654309
89,7.119849,1.040352,0.654309
90,7.199843,1.283247,0.654309
91,7.279837,1.151511,0.654309
92,7.359831,1.156769,0.654309
93,7.439826,1.296229,0.654309
94,7.519820,1.091798,0.665331
95,7.599814,1.091708,0.665331
96,7.679808,1.179820,0.665331
97,7.759802,1.167346,0.665331
98,0.050000,0.722481,0.665331
99,0.130000,0.937709,0.665331
100,0.210000,1.248771,0.665331
101,0.290000,1.967404,0.676353
102,0.370000,1.778297,0.676353
103,0.450001,1.692423,0.676353
104,0.530000,1.807157,0.676353
105,0.609999,1.546416,0.676353
106,0.689998,1.355066,0.676353
107,0.769997,1.430155,0.687375
108,0.849996,1.309745,0.687375
109,0.929995,1.178026,0.687375
110,1.009994,1.277729,0.687375
111,1.089993,1.229165,0.687375
112,1.169992,1.230539,0.687375
113,1.249991,1.247517,0.698397
114,1.329990,1.477999,0.698397
115,1.409989,1.400547,0.698397
116,1.489988,1.331903,0.698397
117,1.569987,1.610943,0.698397
118,1.649986,1.493852,0.698397
119,1.729985,1.391872,0.709419
120,1.809984,1.588004,0.709419
121,1.889983,1.409767,0.709419
122,1.969982,1.323910,0.709419
123,2.049984,1.570439,0.709419
124,2.129987,1.409865,0.709419
125,2.209991,1.303752,0.709419
126,2.289995,1.579460,0.720441
127,2.369999,1.439708,0.720441
