velocity,cot
4.299321,0.424578
4.243499,0.430869
4.164711,0.407294
4.170169,0.654803
4.134821,0.469803
4.158405,0.375842
4.192275,0.468150
4.111020,0.368862
4.061077,0.455753
4.042700,0.394336
4.097142,0.352951
4.128597,0.340926
4.176649,0.528993
4.142967,0.342103
4.242900,0.406013
4.238953,0.341908
4.131679,0.389887
4.104722,0.458460
3.979039,0.418520
4.044565,0.359021
4.131185,0.589836
4.164779,0.306697
4.184179,0.372937
4.177219,0.353445
4.257402,0.433046
4.250000,0.396710
4.212142,0.382157
4.197274,0.428396
4.134212,0.581262
4.008574,0.363698
4.102592,0.392006
4.152824,0.433824
4.120882,0.331190
4.107911,0.337042
4.110440,0.378814
4.180850,0.462423
4.208500,0.289044
4.222374,0.429941
4.278250,0.429106
4.272779,0.394968
4.170095,0.412982
4.125230,0.410785
4.139577,0.408399
4.144068,0.339171
4.054237,0.538079
4.066925,0.355875
4.194143,0.672020
4.183770,0.486392
4.181423,0.333030
4.201474,0.430943
4.189268,0.456974
4.050118,0.428933
3.994263,0.435256
4.053611,0.427608
4.132028,0.571879
4.157080,0.350644
4.179111,0.452585
4.199637,0.389087
4.190843,0.326941
4.172100,0.287864
4.176700,0.456331
4.122901,0.371985
4.189315,0.502644
4.233917,0.532382
4.238338,0.435467
4.193852,0.356039
4.195667,0.467402
4.163529,0.479720
4.106311,0.545283
4.073034,0.435455
4.091166,0.405473
4.190473,0.521224
4.230805,0.359677
4.155643,0.391144
4.132665,0.460330
4.003342,0.486019
3.967966,0.406965
4.066309,0.404412
4.108581,0.430177
4.081816,0.310679
4.170218,0.324080
4.119471,0.438713
4.179791,0.319273
4.223630,0.328115
4.195359,0.362645
4.178704,0.585041
4.150708,0.425424
4.134032,0.552786
3.991966,0.488350
3.946065,0.484745
4.018832,0.376716
4.120396,0.382975
4.183105,0.347106
4.113389,0.552010
4.107612,0.452813
4.191165,0.530382
4.203878,0.427699
4.242585,0.323773
4.288551,0.451152
4.222052,0.388792
4.209286,0.285016
4.256145,0.499479
4.261023,0.524866
4.201851,0.484723
4.185179,0.445073
4.205869,0.414188
4.142735,0.433272
4.076627,0.536478
4.214437,0.421539
4.251801,0.371551
4.280949,0.393522
4.315096,0.307759
4.276697,0.383274
4.262741,0.398449
4.159639,0.310382
4.165153,0.513869
4.132582,0.377973
4.197311,0.483277
