frame,sim_time,current_vel,desired_vel
0,0.000000,0.000000,0.000000
1,0.080000,0.159579,0.100000
2,0.030000,0.080778,0.100000
3,0.110000,1.014521,0.100000
4,0.190000,1.666384,0.100000
5,0.270000,1.736519,0.100000
6,0.350000,1.720788,0.100000
7,0.000000,0.011431,0.100000
8,0.080000,0.610514,0.100000
9,0.160000,1.505129,0.100000
10,0.240000,1.582306,0.100000
11,0.320000,1.538261,0.100000
12,0.400000,1.426363,0.100000
13,0.050000,0.169664,0.100980
14,0.130000,0.643256,0.100980
15,0.060000,0.635413,0.100000
16,0.140000,1.498706,0.100000
17,0.220000,1.617398,0.100000
18,0.300000,1.583901,0.100000
19,0.380000,1.676432,0.100980
20,0.060000,0.435695,0.100000
21,0.140000,0.744074,0.100000
22,0.030000,0.190753,0.100000
23,0.110000,1.204515,0.100000
24,0.190000,1.614569,0.100000
25,0.270000,1.574539,0.100000
26,0.350000,1.361643,0.100980
27,0.040000,0.156632,0.100000
28,0.120000,1.117817,0.100000
29,0.200000,1.748568,0.100000
