velocity,cot
1.525758,1.301425
1.348893,1.551359
1.354032,1.765282
1.417056,1.150464
1.435509,1.569737
1.415929,1.468438
1.458191,1.522557
1.554529,1.496882
1.625828,1.419984
1.657921,1.299719
1.706203,1.303202
1.708015,1.440038
1.778060,1.330694
1.727175,1.436043
1.812077,1.282630
1.828886,1.303519
1.909919,1.168497
2.005797,1.211329
2.052836,1.143001
2.173596,1.137748
2.184282,0.939517
2.307719,1.074970
2.299291,1.041001
2.301194,0.957580
2.332576,1.032117
2.403663,1.049763
2.461322,0.986797
2.525144,0.988401
2.580110,1.015665
2.595405,0.942291
2.666530,1.009854
2.754536,1.010347
2.811073,1.037508
2.874819,0.970111
2.921070,0.979120
2.991189,0.938071
2.969503,1.057519
3.064855,0.992789
2.998659,0.936377
3.115439,0.895500
3.019392,0.825438
3.005379,0.813890
3.068791,0.877483
3.071282,0.818208
3.139244,0.850866
3.173350,0.766022
3.175215,0.750578
3.226842,0.759017
3.268505,0.755871
3.272518,0.718464
3.336087,0.747153
3.348673,0.778071
3.377920,0.680020
3.392539,0.731270
3.448036,0.689687
3.501683,0.765922
3.551282,0.733990
3.533197,0.665042
3.574639,0.749361
3.570934,0.692390
3.591259,0.633329
3.664907,0.787204
3.671496,0.673072
3.713993,0.747837
3.671772,0.683166
3.716488,0.854781
3.752640,0.870853
3.759118,0.800085
3.789641,0.841312
3.798781,0.779298
3.855445,0.781996
3.884147,0.877317
3.914235,0.741421
3.940025,0.836483
3.864053,0.828109
3.944954,0.757486
3.973394,0.721137
4.020370,0.857757
4.080810,0.816129
4.060441,0.738692
4.089526,0.762707
4.108040,0.787728
4.104186,0.855599
4.108491,0.854743
4.162206,0.925888
4.138255,0.904571
4.169065,0.808447
4.170092,0.866842
4.194682,0.970681
4.240934,0.865054
4.270729,0.834985
4.242837,0.931533
4.202280,0.863214
4.184993,0.836077
4.200953,0.979132
4.146362,0.875578
3.987063,0.835647
4.072145,0.876279
4.078582,0.824958
3.865453,0.825114
3.854062,0.920881
3.915935,0.939970
3.919291,1.026804
4.019515,0.816325
3.959563,0.905081
4.071445,0.856687
4.005132,0.881208
3.945182,0.988993
4.054774,0.955343
4.189951,0.917530
4.181367,0.882095
4.149814,0.786737
4.166151,0.802157
4.090511,0.894233
3.928381,0.933746
3.877769,0.894365
4.034046,0.840523
4.003405,0.899813
4.084126,0.881614
4.101412,0.856249
4.166181,0.782489
4.058333,0.926940
4.056598,0.783376
3.890629,0.975631
3.907247,0.986913
3.941133,0.917244
3.938456,0.835208
3.986460,0.822831
3.973310,0.917330
4.137844,0.834055
4.127719,0.909979
4.087770,0.959551
3.957496,0.852507
3.899029,0.968072
4.057084,0.924493
4.110153,0.768562
3.932646,0.819997
3.944806,0.906418
3.950454,0.889973
3.894933,0.861851
3.952258,0.868770
4.083329,0.904335
4.107267,0.844492
4.012726,0.875905
4.069432,0.818018
