frame,sim_time,current_vel,desired_vel
0,0.000000,0.000000,0.000000
1,0.080000,0.793590,0.100000
2,0.160000,1.628635,0.100000
3,0.240000,1.733505,0.100000
4,0.320000,1.672815,0.100000
5,0.030000,0.041186,0.100000
6,0.110000,1.135220,0.100000
7,0.190000,1.571782,0.100980
8,0.050000,0.206502,0.100000
9,0.130000,0.169327,0.100000
10,0.040000,0.249894,0.100000
11,0.120000,0.737319,0.100000
12,0.000000,0.009675,0.100000
13,0.080000,0.490012,0.100980
14,0.160000,1.429842,0.100980
15,0.240000,1.518317,0.100980
16,0.320000,1.498261,0.100980
17,0.400000,1.027055,0.100980
18,0.070000,0.062119,0.100000
19,0.030000,0.072448,0.100980
20,0.110000,0.724995,0.100980
21,0.190000,1.632588,0.100980
22,0.270000,1.631553,0.100980
23,0.350000,1.680242,0.100980
24,0.020000,0.027484,0.100000
25,0.100000,0.947658,0.100000
26,0.180000,1.681514,0.100980
27,0.260000,1.698411,0.100980
28,0.340000,1.700478,0.100980
29,0.020000,0.039775,0.100000
30,0.100000,0.545239,0.100000
31,0.180000,0.655186,0.100000
32,0.030000,0.126961,0.100000
33,0.110000,1.149105,0.100000
34,0.190000,1.747979,0.100000
35,0.270000,1.748567,0.100000
36,0.350000,1.655944,0.100000
37,0.020000,0.049522,0.100000
38,0.100000,0.530605,0.100980
39,0.180000,0.433523,0.100980
40,0.260000,0.076147,0.100980
41,0.340000,0.145547,0.100980
42,0.060000,0.233199,0.100000
43,0.010000,0.028861,0.100000
44,0.090000,0.721404,0.100980
45,0.170000,1.496633,0.100980
46,0.250000,1.506156,0.100980
47,0.330000,1.503537,0.100980
48,0.010000,0.047402,0.100000
49,0.090000,0.420230,0.100000
50,0.170000,0.389144,0.100000
51,0.020000,0.030779,0.100000
52,0.100000,1.102342,0.100000
53,0.180000,1.670349,0.100000
54,0.260000,1.567024,0.100000
55,0.340000,1.671639,0.100000
56,0.010000,0.083125,0.100000
57,0.090000,0.941950,0.100980
58,0.170000,1.560806,0.100980
59,0.250000,1.509899,0.100980
60,0.330000,0.987672,0.100980
61,0.020000,0.064736,0.100000
62,0.100000,0.622334,0.100000
63,0.180000,0.846255,0.100980
64,0.070000,0.395988,0.100000
65,0.150000,1.412252,0.100000
66,0.230000,1.672544,0.100000
67,0.310000,1.621735,0.100000
68,0.390000,1.154012,0.100000
69,0.010000,0.025428,0.100000
70,0.090000,0.590451,0.100000
71,0.010000,0.027270,0.100000
72,0.090000,0.643347,0.100000
73,0.010000,0.020957,0.100000
74,0.090000,1.070100,0.100000
75,0.170000,1.651100,0.100000
76,0.250000,1.593800,0.100980
77,0.330000,1.464236,0.100980
78,0.040000,0.068842,0.100000
79,0.120000,0.918741,0.100000
80,0.200000,1.641368,0.100000
81,0.280000,1.733237,0.100000
82,0.360000,1.440117,0.100980
83,0.440001,0.572421,0.100980
84,0.520000,0.289576,0.100980
85,0.599999,0.041177,0.100980
86,0.679998,0.070074,0.100980
87,0.759997,0.095912,0.100980
88,0.010000,0.019510,0.100000
89,0.090000,0.636900,0.100000
90,0.170000,1.128248,0.100000
91,0.070000,0.399051,0.100000
92,0.150000,1.409910,0.100000
93,0.230000,1.654230,0.100000
94,0.310000,1.525722,0.100980
95,0.010000,0.063077,0.100000
96,0.090000,0.365085,0.100000
97,0.170000,0.404874,0.100000
98,0.050000,0.263434,0.100000
99,0.130000,1.259697,0.100000
100,0.210000,1.629516,0.100000
101,0.290000,1.541666,0.100980
102,0.370000,1.082546,0.100980
103,0.060000,0.264337,0.100000
104,0.140000,1.000149,0.100000
105,0.220000,1.325678,0.100000
106,0.300000,1.369539,0.100000
107,0.030000,0.043579,0.100000
108,0.110000,0.185280,0.100000
109,0.040000,0.377872,0.100000
110,0.120000,1.317141,0.100000
111,0.200000,1.619247,0.100000
112,0.280000,1.569860,0.100000
113,0.360000,1.537367,0.100980
114,0.070000,0.462450,0.100000
115,0.020000,0.175322,0.100000
116,0.100000,0.356103,0.100000
117,0.030000,0.050058,0.100000
118,0.110000,0.315373,0.100000
119,0.050000,0.328235,0.100980
120,0.130000,0.688634,0.100980
121,0.020000,0.068903,0.100000
122,0.100000,0.360238,0.100000
123,0.180000,0.520111,0.100000
124,0.040000,0.170898,0.100000
125,0.120000,0.756692,0.100000
126,0.000000,0.023510,0.100000
127,0.080000,0.865168,0.100000
128,0.160000,1.581392,0.100000
129,0.240000,1.623921,0.100000
130,0.320000,1.548225,0.100000
131,0.040000,0.385840,0.100000
132,0.120000,0.679005,0.100980
133,0.200000,0.478143,0.100980
134,0.050000,0.135572,0.100000
135,0.130000,1.056890,0.100000
136,0.210000,1.652434,0.100000
137,0.290000,1.722469,0.100000
138,0.370000,1.285037,0.100980
139,0.030000,0.088031,0.100000
140,0.110000,1.040308,0.100000
141,0.190000,1.754718,0.100000
142,0.270000,1.771742,0.100000
143,0.350000,1.773217,0.100000
144,0.010000,0.040931,0.100000
145,0.090000,0.198094,0.100000
146,0.020000,0.102013,0.100000
147,0.100000,1.154857,0.100000
148,0.180000,1.683493,0.100000
149,0.260000,1.610842,0.100000
150,0.340000,1.582411,0.100000
151,0.040000,0.309344,0.100000
152,0.120000,1.277107,0.100000
153,0.200000,1.756943,0.100000
154,0.280000,1.715271,0.100000
155,0.360000,1.541384,0.100000
156,0.070000,0.111728,0.100000
157,0.150000,0.660919,0.100980
158,0.030000,0.119321,0.100000
159,0.110000,0.364094,0.100000
160,0.040000,0.067520,0.100000
161,0.120000,0.940727,0.100000
162,0.200000,1.674670,0.100000
163,0.280000,1.721094,0.100980
164,0.360000,0.957349,0.100980
165,0.440001,0.847597,0.100980
166,0.520000,0.790683,0.100980
167,0.599999,0.679756,0.100980
168,0.679998,0.477883,0.100980
169,0.060000,0.166711,0.100980
170,0.020000,0.021905,0.100000
171,0.100000,1.070248,0.100000
172,0.180000,1.676173,0.100000
173,0.260000,1.648925,0.100000
174,0.340000,1.547872,0.100000
175,0.040000,0.191722,0.100000
176,0.120000,0.656491,0.100980
177,0.200000,1.022290,0.100980
178,0.060000,0.343095,0.100000
179,0.140000,1.354776,0.100000
180,0.220000,1.711488,0.100000
181,0.300000,1.685551,0.100000
182,0.380000,1.158356,0.100980
183,0.070000,0.416412,0.100000
