frame,sim_time,current_vel,desired_vel
0,0.000000,0.000000,0.000000
1,0.080000,0.150945,0.500000
2,0.030000,0.083142,0.500000
3,0.110000,1.021240,0.500000
4,0.190000,1.696354,0.500000
5,0.270000,1.752711,0.500000
6,0.350000,1.693206,0.500000
7,0.430001,1.525304,0.511022
8,0.060000,0.052337,0.511022
9,0.140000,0.444130,0.511022
10,0.030000,0.149771,0.511022
11,0.110000,1.134195,0.511022
12,0.190000,1.731680,0.511022
13,0.270000,1.714569,0.522044
14,0.350000,1.680139,0.522044
15,0.040000,0.074311,0.522044
16,0.120000,0.939643,0.522044
17,0.200000,1.607107,0.522044
18,0.280000,1.719557,0.522044
19,0.360000,1.649575,0.533066
20,0.050000,0.256018,0.533066
21,0.130000,0.663379,0.533066
22,0.060000,0.221853,0.533066
23,0.140000,0.198134,0.533066
24,0.070000,0.429430,0.533066
25,0.150000,1.439341,0.533066
26,0.230000,1.672281,0.544088
27,0.310000,1.583280,0.544088
28,0.390000,1.385048,0.544088
29,0.470001,0.438003,0.544088
30,0.550000,0.230884,0.544088
31,0.010000,0.013589,0.544088
32,0.090000,0.739659,0.555110
33,0.170000,1.007208,0.555110
34,0.250000,1.106658,0.555110
35,0.050000,0.143639,0.555110
36,0.130000,0.665442,0.555110
37,0.070000,0.391268,0.555110
38,0.150000,0.574667,0.566132
39,0.060000,0.424414,0.566132
40,0.140000,1.433077,0.566132
41,0.220000,1.641703,0.566132
42,0.300000,1.593552,0.566132
43,0.380000,1.268822,0.566132
44,0.460001,0.998323,0.577154
45,0.050000,0.365547,0.577154
46,0.130000,1.358653,0.577154
47,0.210000,1.575661,0.577154
48,0.290000,1.531780,0.577154
49,0.370000,1.579223,0.577154
50,0.040000,0.336765,0.577154
51,0.120000,1.371821,0.588176
52,0.200000,1.554472,0.588176
53,0.280000,1.477366,0.588176
54,0.360000,1.542255,0.588176
55,0.040000,0.142775,0.588176
56,0.120000,0.871749,0.588176
57,0.060000,0.343606,0.599198
58,0.140000,1.260670,0.599198
59,0.220000,1.584072,0.599198
60,0.300000,1.525594,0.599198
61,0.380000,1.443348,0.599198
62,0.050000,0.053860,0.599198
63,0.130000,1.030137,0.610220
64,0.210000,1.509802,0.610220
65,0.290000,1.501616,0.610220
66,0.370000,1.404361,0.610220
67,0.000000,0.006555,0.610220
68,0.080000,0.289828,0.610220
69,0.030000,0.163531,0.621243
